Genus,Phylum,Sp,Strain,Assembly,Phyla
Cryptococcus,Basidiomycota,neoformans,MW-RSA852,GCA_002220035.1,1
Cryptococcus,Basidiomycota,gattii,SR061,GCA_031841975.1,1
Cryptococcus,Basidiomycota,gattii,WM1802,GCA_014964225.1,1
Cryptococcus,Basidiomycota,gattii,E566,GCA_000875815.1,1
Cryptococcus,Basidiomycota,gattii,NT-10,GCA_000935105.1,1
Cryptococcus,Basidiomycota,gattii,Ru294,GCA_000836355.1,1
Cryptococcus,Basidiomycota,gattii,EJB2,GCA_000835745.1,1
Cryptococcus,Basidiomycota,deuterogattii,Chr10-7,GCA_012922885.1,1
Cryptococcus,Basidiomycota,deuterogattii,CA1014,GCA_000875795.1,1
Cryptococcus,Basidiomycota,deuterogattii,Ram5,GCA_000836375.1,1
Cryptococcus,Basidiomycota,deuterogattii,2001/935-1,GCA_000835815.1,1
Cryptococcus,Basidiomycota,deuterogattii,MMRL2647,GCA_000875855.1,1
Cryptococcus,Basidiomycota,deuterogattii,CBS.10090,GCA_000835765.1,1
Cryptococcus,Basidiomycota,deuterogattii,99/473,GCA_000836455.1,1
Cryptococcus,Basidiomycota,deuterogattii,LA55,GCA_000836315.1,1
Cryptococcus,Basidiomycota,deuterogattii,CBS.7750,GCA_000499585.1,1
Cryptococcus,Basidiomycota,bacillisporus,CA1280,GCA_000836335.1,1
Cryptococcus,Basidiomycota,amylolentus,CBS.6273,GCA_001720235.1,1
Cryptococcus,Basidiomycota,neoformans,Y-2534,GCA_028975465.1,1
Cryptococcus,Basidiomycota,neoformans,PH4021C,GCA_025531435.1,1
Cryptococcus,Basidiomycota,neoformans,S60,GCA_030913545.1,1
Cryptococcus,Basidiomycota,neoformans,PH4008,GCA_025531515.1,1
Cryptococcus,Basidiomycota,sp.,NA,GCA_900079645.1,1
Cyathus,Basidiomycota,striatus,NPCB_87405,GCA_025738555.1,1
Cyathus,Basidiomycota,pygmaeus,PSL-2077,GCA_036937155.1,1
Cyathus,Basidiomycota,olla,FLAS-F-66505,GCA_036940585.1,1
Cyathus,Basidiomycota,striatus,AH.40144,GCA_015501535.1,1
Cylindrobasidium,Basidiomycota,torrendii,FP15055.ss-10,GCA_000934385.1,1
Cystobasidium,Basidiomycota,onofrii,FKI-L6-BK-PAB1,GCA_022813105.1,1
Cystobasidium,Basidiomycota,ongulense,9A-5,GCA_022835595.1,1
Cystobasidium,Basidiomycota,pallidum,JCM.3780,GCA_001599955.1,1
Cystobasidium,Basidiomycota,tubakii,9A-1,GCA_024345325.1,1
Cystobasidium,Basidiomycota,slooffiae,I2-R3,GCA_019775285.1,1
Cystobasidium,Basidiomycota,ongulense,9A-2,GCA_022835575.1,1
Cystobasidium,Basidiomycota,ongulense,051-20-1,GCA_022835615.1,1
Cystobasidium,Basidiomycota,slooffiae,VS.AB.III.KN.2,GCA_019775485.1,1
Cystobasidium,Basidiomycota,ongulense,056-1-20Y-3,GCA_022835635.1,1
Cystobasidium,Basidiomycota,ongulense,056-20-8,GCA_022835655.1,1
Cystobasidium,Basidiomycota,slooffiae,VS.AB.III.D.KN.1,GCA_019775515.1,1
Cytidiella,Basidiomycota,melzeri,FP.102339,GCA_022592445.1,1
Dacryopinax,Basidiomycota,primogenitus,DJM-731.SS1,GCA_000292625.1,1
Dacryopinax,Basidiomycota,primogenitus,DJM-731.SS1,GCF_000292625.1,1
Daedalea,Basidiomycota,quercina,L-15889,GCA_001632345.1,1
Dendrothele,Basidiomycota,bispora,CBS.962.96,GCA_004369135.1,1
Dentipellis,Basidiomycota,sp.,KUC8613,GCA_002286715.1,1
Dentipellis,Basidiomycota,fragilis,DSM.105465,GCA_004679275.1,1
Dichomitus,Basidiomycota,squalens,LYAD-421.SS1,GCA_000275845.1,1
Dichomitus,Basidiomycota,squalens,LYAD-421.SS1,GCF_000275845.1,1
Dichomitus,Basidiomycota,squalens,CBS.464.89,GCA_004307905.1,1
Dichomitus,Basidiomycota,squalens,OM18370.1,GCA_004307925.1,1
Dichomitus,Basidiomycota,squalens,CBS.463.89,GCA_004307915.1,1
Dioszegia,Basidiomycota,crocea,JCM.2961,GCA_001600615.1,1
Dioszegia,Basidiomycota,aurantiaca,JCM.2956,GCA_001600655.1,1
Dioszegia,Basidiomycota,hungarica,PDD-24b-2,GCA_025882075.1,1
Dioszegia,Basidiomycota,hungarica,PDD-24b-2,GCF_025882075.1,1
Dioszegia,Basidiomycota,hungarica,Y1,GCA_024115145.1,1
Earliella,Basidiomycota,scabrosa,CIRM-BRFM.1817,GCA_022605405.1,1
Epithele,Basidiomycota,typhae,CBS.203.58,GCA_022376455.1,1
Epithele,Basidiomycota,typhae,CBS.203.58,GCF_022376455.1,1
Erythrobasidium,Basidiomycota,hasegawianum,JCM.1545,GCA_001972285.1,1
Erythrobasidium,Basidiomycota,yunnanense,JCM.10687,GCA_001600175.1,1
Exidia,Basidiomycota,glandulosa,HHB12029,GCA_001632375.1,1
Exobasidium,Basidiomycota,cylindrosporum,YG638,GCA_023273805.1,1
Exobasidium,Basidiomycota,rhododendri,CBS101457,GCA_026210745.1,1
Fibroporia,Basidiomycota,radiculosa,TFFH.294,GCA_000313525.1,1
Fibroporia,Basidiomycota,radiculosa,TFFH.294,GCF_000313525.1,1
Filobasidium,Basidiomycota,wieringae,JCM.11695,GCA_001600055.1,1
Filobasidium,Basidiomycota,floriforme,CBS.6241,GCA_021052385.1,1
Filobasidium,Basidiomycota,floriforme,CBS.6241,GCF_021052385.1,1
Filobasidium,Basidiomycota,floriforme,CBS.6242,GCA_019201745.1,1
Fistulina,Basidiomycota,hepatica,ATCC.64428,GCA_000934395.1,1
Flagelloscypha,Basidiomycota,sp.,PMI_526,GCA_021399455.1,1
Fomes,Basidiomycota,fomentarius,CIRM-BRFM.1821,GCA_022606135.1,1
Fomitiporia,Basidiomycota,mediterranea,MF3/22,GCA_000271605.1,1
Fomitiporia,Basidiomycota,mediterranea,MF3/22,GCF_000271605.1,1
Fomitopsis,Basidiomycota,palustris,FFPRI.0507_CJ35,GCA_029783445.1,1
Fomitopsis,Basidiomycota,betulina,CIRM-BRFM.1772,GCA_022606075.1,1
Fomitopsis,Basidiomycota,pinicola,GR9-4,GCA_001931775.1,1
Fomitopsis,Basidiomycota,schrenkii,FP-58527.SS1,GCA_000344655.2,1
Fomitopsis,Basidiomycota,palustris,ATCC.62978,GCA_001937815.1,1
Galerina,Basidiomycota,marginata,ZP088764,GCA_023014335.1,1
Galerina,Basidiomycota,sulciceps,ZP082096,GCA_023014345.1,1
Galerina,Basidiomycota,marginata,CBS.339.88,GCA_000697645.1,1
Ganoderma,Basidiomycota,boninense,G3,GCA_002900995.3,1
Ganoderma,Basidiomycota,lucidum,Ling-Jian.NO.2,GCA_019426095.1,1
Ganoderma,Basidiomycota,lingzhi,SCIM1006,GCA_026283605.1,1
Ganoderma,Basidiomycota,sinense,ZZ0214-1,GCA_002760635.1,1
Ganoderma,Basidiomycota,tsugae,CCMJ4178,GCA_024305745.1,1
Ganoderma,Basidiomycota,leucocontextum,HMGIM-I160015,GCA_020736865.1,1
Ganoderma,Basidiomycota,multipileum,BCRC.37180,GCA_000338015.2,1
Ganoderma,Basidiomycota,meredithae,FKI-L8-BK-PAB1,GCA_022814645.1,1
Ganoderma,Basidiomycota,sp.,BRIUMSc,GCA_008694245.1,1
Ganoderma,Basidiomycota,lucidum,BCRC.36111,GCA_012655175.1,1
Ganoderma,Basidiomycota,lucidum,NA,GCA_963378725.1,1
Ganoderma,Basidiomycota,lucidum,IA20,GCA_033032785.1,1
Ganoderma,Basidiomycota,lucidum,G.260125-1,GCA_000271565.1,1
Ganoderma,Basidiomycota,lucidum,Xiangnong.No.1,GCA_000262775.1,1
Ganoderma,Basidiomycota,lucidum,BCRC.37177,GCA_000338035.1,1
Ganoderma,Basidiomycota,boninense,UPMGB001,GCA_020976605.1,1
Ganoderma,Basidiomycota,boninense,T10,GCA_022836635.1,1
Ganoderma,Basidiomycota,boninense,NJ3,GCA_001855635.1,1
Ganoderma,Basidiomycota,leucocontextum,Dai12418,GCA_022813035.1,1
Ganoderma,Basidiomycota,tsugae,s90,GCA_003057275.1,1
Gautieria,Basidiomycota,morchelliformis,GMNE.BST,GCA_015179125.1,1
Gloeopeniophorella,Basidiomycota,convolvens,OM19405,GCA_022496205.1,1
Gloeophyllum,Basidiomycota,trabeum,ATCC.11539,GCA_000344685.1,1
Gloeophyllum,Basidiomycota,trabeum,ATCC.11539,GCF_000344685.1,1
Guyanagaster,Basidiomycota,necrorhizus,MCA.3950,GCA_019112545.1,1
Guyanagaster,Basidiomycota,necrorhizus,MCA.3950,GCF_019112545.1,1
Gymnopilus,Basidiomycota,junonius,AH.44721,GCA_015501075.1,1
Gymnopilus,Basidiomycota,dilepis,SRW20,GCA_002938385.1,1
Gymnopilus,Basidiomycota,junonius,NA,GCA_900068935.1,1
Gymnopus,Basidiomycota,androsaceus,JB14,GCA_009733575.1,1
Gyrodon,Basidiomycota,lividus,BX,GCA_014904945.1,1
Hebeloma,Basidiomycota,cylindrosporum,h7,GCA_000827355.1,1
Heliocybe,Basidiomycota,sulcata,OMC1185,GCA_004369045.1,1
Hericium,Basidiomycota,erinaceus,CS-4,GCA_006506795.2,1
Hericium,Basidiomycota,rajendrae,NPCB.A08,GCA_033439255.1,1
Hericium,Basidiomycota,coralloides,tvtc0002,GCA_003675405.1,1
Hericium,Basidiomycota,alpestre,DSM.108284,GCA_004681135.1,1
Hericium,Basidiomycota,erinaceus,605,GCA_016906435.1,1
Heterobasidion,Basidiomycota,annosum,NA,GCA_001457955.1,1
Heterobasidion,Basidiomycota,irregulare,TC.32-1,GCA_000320585.2,1
Heterobasidion,Basidiomycota,irregulare,TC.32-1,GCF_000320585.1,1
Heterobasidion,Basidiomycota,parviporum,96026,GCA_002994785.1,1
Heterobasidion,Basidiomycota,annosum,NA,GCA_001457895.1,1
Heterobasidion,Basidiomycota,annosum,NA,GCA_001457995.1,1
Heterobasidion,Basidiomycota,annosum,3012,GCA_000633895.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749255.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749295.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749315.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749275.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749245.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749265.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_001457935.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749305.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749325.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_902749285.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_001458015.1,1
Heterobasidion,Basidiomycota,irregulare,NA,GCA_001457915.1,1
Hydnomerulius,Basidiomycota,pinastri,MD-312,GCA_000827185.1,1
Hydnum,Basidiomycota,rufescens,UP504,GCA_014904985.1,1
Hygrophoropsis,Basidiomycota,aurantiaca,ATCC.28755,GCA_021014935.1,1
Hymenopellis,Basidiomycota,radicata,IJFM.A160,GCA_015501595.1,1
Hymenopellis,Basidiomycota,raphanipes,CGG-A-s1,GCA_036872995.1,1
Hymenopellis,Basidiomycota,chiangmaiae,MG56,GCA_003314085.1,1
Hymenopellis,Basidiomycota,radicata,MG139,GCA_003314005.1,1
Hypholoma,Basidiomycota,fasciculare,SGAA,GCA_016801325.1,1
Hypholoma,Basidiomycota,sublateritium,FD-334.SS-4,GCA_000827495.1,1
Hysterangium,Basidiomycota,stoloniferum,HS.BST,GCA_015178975.1,1
Irpex,Basidiomycota,lacteus,F17,GCA_001986395.2,1
Irpex,Basidiomycota,rosettiformis,CBS.384.51,GCA_022160335.1,1
Irpex,Basidiomycota,sp.,Y119-03,GCA_037042295.1,1
Irpex,Basidiomycota,sp.,M6601,GCA_037039805.1,1
Irpex,Basidiomycota,sp.,P115-07,GCA_037040455.1,1
Irpex,Basidiomycota,sp.,PG99-01B2,GCA_037041695.1,1
Irpex,Basidiomycota,lacteus,CCBAS.Fr.238.617/93,GCA_022606095.1,1
Irpex,Basidiomycota,lacteus,Y8604A,GCA_037042435.1,1
Jaapia,Basidiomycota,argillacea,MUCL.33604,GCA_000697665.1,1
Jaminaea,Basidiomycota,rosea,MCA.5214,GCA_003144245.1,1
Jaminaea,Basidiomycota,rosea,MCA.5214,GCF_003144245.1,1
Kockovaella,Basidiomycota,imperatae,NRRL.Y-17943,GCA_002102565.1,1
Kockovaella,Basidiomycota,imperatae,NRRL.Y-17943,GCF_002102565.1,1
Laccaria,Basidiomycota,bicolor,S238N-H82,GCA_000143565.1,1
Laccaria,Basidiomycota,bicolor,S238N-H82,GCF_000143565.1,1
Laccaria,Basidiomycota,amethystina,LaAM-08-1,GCA_000827195.1,1
Laccaria,Basidiomycota,trichodermophora,EF-36,GCA_018417955.1,1
Laccaria,Basidiomycota,trichodermophora,CA15-11,GCA_018417965.1,1
Laccaria,Basidiomycota,trichodermophora,CA15-75,GCA_018423945.1,1
Laccaria,Basidiomycota,trichodermophora,CA15-F10,GCA_018423875.1,1
Lactarius,Basidiomycota,tabidus,NA,GCA_963281015.1,1
Lactarius,Basidiomycota,evosmus,NA,GCA_951394315.1,1
Lactarius,Basidiomycota,hatsudake,JH5,GCA_024734325.1,1
Lactarius,Basidiomycota,deliciosus,48,GCA_021525775.1,1
Lactarius,Basidiomycota,indigo,2018DUKE089,GCA_025766275.1,1
Lactarius,Basidiomycota,akahatsu,QP,GCA_021524915.1,1
Lactarius,Basidiomycota,sanguifluus,B21,GCA_021527775.1,1
Lactarius,Basidiomycota,vividus,141,GCA_021527035.1,1
Lactarius,Basidiomycota,pseudohatsudake,88,GCA_021525015.1,1
Lactarius,Basidiomycota,psammicola,BPL869,GCA_025769895.1,1
Lactarius,Basidiomycota,quietus,S23C,GCA_015025155.1,1
Lactarius,Basidiomycota,hengduanensis,84,GCA_021525025.1,1
Lactarius,Basidiomycota,trivialis,MG71,GCA_003315845.1,1
Lactarius,Basidiomycota,sp.,MG50,GCA_003314065.1,1
Lactarius,Basidiomycota,sp.,MG121,GCA_003315925.1,1
Lactarius,Basidiomycota,hatsudake,109,GCA_021525005.1,1
Lactarius,Basidiomycota,deliciosus,CBS.582.63,GCA_006680135.1,1
Lactarius,Basidiomycota,deliciosus,MG9,GCA_003316005.1,1
Lactarius,Basidiomycota,hatsudake,MG20,GCA_003315955.1,1
Lactarius,Basidiomycota,tabidus,NA,GCA_963281095.1,1
Lactarius,Basidiomycota,indigo,MG109,GCA_003313985.1,1
Lactarius,Basidiomycota,evosmus,NA,GCA_951394305.1,1
Lactifluus,Basidiomycota,volemus,BPL652,GCA_022376515.1,1
Lactifluus,Basidiomycota,subvellereus,BPL653,GCA_022496195.1,1
Lactifluus,Basidiomycota,piperatus,MG49,GCA_003315875.1,1
Lactifluus,Basidiomycota,hygrophoroides,MG19,GCA_003314055.1,1
Lactifluus,Basidiomycota,pinguis,MG27,GCA_003313945.1,1
Lactifluus,Basidiomycota,echinatus,MG122,GCA_003315975.1,1
Lactifluus,Basidiomycota,rugatus,MG108,GCA_003315895.1,1
Lactifluus,Basidiomycota,volemus,MG8,GCA_003315835.1,1
Laetiporus,Basidiomycota,sulphureus,93-53,GCA_001632365.1,1
Laetiporus,Basidiomycota,sulphureus,93-53,GCF_001632365.1,1
Laetiporus,Basidiomycota,sulphureus,NA,GCA_927399515.3,1
Laetiporus,Basidiomycota,sulphureus,NWAFU-1,GCA_024321985.1,1
Laetiporus,Basidiomycota,sulphureus,NA,GCA_927399535.3,1
Laetiporus,Basidiomycota,sulphureus,MG138,GCA_003521245.1,1
Laetiporus,Basidiomycota,sulphureus,ATCC.52600,GCA_016068325.1,1
Lentinula,Basidiomycota,edodes,Le(Bin).0899.ss11,GCA_021015755.1,1
Lentinula,Basidiomycota,edodes,Le(Bin).0899.ss11,GCF_021015755.1,1
Lentinula,Basidiomycota,detonsa,TFB7810,GCA_027921405.1,1
Lentinula,Basidiomycota,raphanica,INPA1701G.ss19,GCA_027919835.1,1
Lentinula,Basidiomycota,aciculospora,JLM2183,GCA_028011355.1,1
Lentinula,Basidiomycota,guzmanii,ET3784,GCA_027919855.1,1
Lentinula,Basidiomycota,lateritia,RHP3577.ss4,GCA_028011325.1,1
Lentinula,Basidiomycota,aff.,TFB10291,GCA_027886325.1,1
Lentinula,Basidiomycota,boryana,TFB10827,GCA_027886635.1,1
Lentinula,Basidiomycota,novae-zelandiae,TMI1172,GCA_027921425.1,1
Lentinula,Basidiomycota,aff.,TMI1499,GCA_027886305.1,1
Lentinula,Basidiomycota,edodes,NA,GCA_030770125.1,1
Lentinula,Basidiomycota,edodes,NA,GCA_030770075.1,1
Lentinula,Basidiomycota,edodes,L808,GCA_015476405.1,1
Lentinula,Basidiomycota,edodes,HY19,GCA_030246715.1,1
Lentinula,Basidiomycota,edodes,HY7,GCA_030246695.1,1
Lentinula,Basidiomycota,edodes,sp2.HRB7682.ss15,GCA_028011485.1,1
Lentinula,Basidiomycota,edodes,B17,GCA_001562095.1,1
Lentinula,Basidiomycota,edodes,W1-26,GCA_001700625.1,1
Lentinula,Basidiomycota,edodes,CS-584,GCA_027917475.1,1
Lentinula,Basidiomycota,edodes,TMI1633,GCA_027917485.1,1
Lentinula,Basidiomycota,edodes,TMI1148,GCA_027887095.1,1
Lentinula,Basidiomycota,edodes,VB361,GCA_027886755.1,1
Lentinula,Basidiomycota,edodes,L3,GCA_002000105.1,1
Lentinula,Basidiomycota,edodes,NBRC.111202,GCA_002003045.1,1
Lentinula,Basidiomycota,edodes,L-54A,GCA_004919705.1,1
Lentinula,Basidiomycota,edodes,135A,GCA_002195965.1,1
Lentinula,Basidiomycota,edodes,135B,GCA_002195955.1,1
Lentinula,Basidiomycota,detonsa,TFB7829,GCA_027886465.1,1
Lentinula,Basidiomycota,raphanica,INPA1820,GCA_027886345.1,1
Lentinula,Basidiomycota,aff.,TFB10292,GCA_027886315.1,1
Lentinula,Basidiomycota,lateritia,sp.3.TMI1502,GCA_027917355.1,1
Lentinula,Basidiomycota,raphanica,TFB9929,GCA_027886495.1,1
Lentinula,Basidiomycota,raphanica,TFB9207,GCA_027886735.1,1
Lentinula,Basidiomycota,raphanica,TFB8682,GCA_027917365.1,1
Lentinula,Basidiomycota,raphanica,JLM1587,GCA_027886695.1,1
Lentinula,Basidiomycota,lateritia,NA,GCA_027917575.1,1
Lentinus,Basidiomycota,tigrinus,ALCF2SS1-7,GCA_003813185.1,1
Lentinus,Basidiomycota,polychrous,BCC7694,GCA_000787475.1,1
Lentinus,Basidiomycota,tigrinus,ALCF2SS1-6,GCA_003813205.1,1
Leucoagaricus,Basidiomycota,gongylophorus,LEU18496,GCA_022457215.2,1
Leucoagaricus,Basidiomycota,leucothites,CBS.146.42,GCA_013368445.1,1
Leucoagaricus,Basidiomycota,sp.,SymC.cos,GCA_001563735.1,1
Leucoagaricus,Basidiomycota,gongylophorus,Ac12,GCA_000382605.1,1
Leucogyrophana,Basidiomycota,mollusca,KUC20120723A-06,GCA_021014945.1,1
Lyophyllum,Basidiomycota,decastes,LRG-d1-1,GCA_025854295.1,1
Lyophyllum,Basidiomycota,shimeji,AT787,GCA_026008595.1,1
Lyophyllum,Basidiomycota,atratum,CBS.144462,GCA_014905825.1,1
Lyophyllum,Basidiomycota,semitale,NA,GCA_018851285.1,1
Lyophyllum,Basidiomycota,decastes,LRG-d1-5,GCA_026258425.1,1
Lyophyllum,Basidiomycota,decastes,JCM.30590,GCA_001950495.1,1
Lyophyllum,Basidiomycota,decastes,LRG-d1-2,GCA_036418075.1,1
Lyophyllum,Basidiomycota,shimeji,JCM.30591,GCA_001950515.1,1
Macrolepiota,Basidiomycota,fuliginosa,MF-IS2,GCA_015584085.1,1
Macrolepiota,Basidiomycota,dolichaula,MG24,GCA_003315915.1,1
Malassezia,Basidiomycota,nana,CBS.9557,GCA_029542845.1,1
Malassezia,Basidiomycota,arunalokei,CBS.13387,GCA_029542905.1,1
Malassezia,Basidiomycota,japonica,CBS.9431,GCA_029542785.1,1
Malassezia,Basidiomycota,japonica,CBS.9431,GCF_029542785.1,1
Malassezia,Basidiomycota,vespertilionis,CBS.15041,GCA_029542925.1,1
Malassezia,Basidiomycota,vespertilionis,CBS.15041,GCF_029542925.1,1
Malassezia,Basidiomycota,brasiliensis,CBS.14135,GCA_029542985.1,1
Malassezia,Basidiomycota,obtusa,CBS.7876,GCA_029542945.1,1
Malassezia,Basidiomycota,cuniculi,CBS.11721,GCA_029542805.1,1
Malassezia,Basidiomycota,psittaci,CBS.14136,GCA_029542765.1,1
Malassezia,Basidiomycota,yamatoensis,CBS.9725,GCA_029542965.1,1
Malassezia,Basidiomycota,caprae,CBS.10434,GCA_029542885.1,1
Malassezia,Basidiomycota,restricta,KCTC.27527,GCA_003290485.1,1
Malassezia,Basidiomycota,restricta,KCTC.27527,GCF_003290485.1,1
Malassezia,Basidiomycota,furfur,NA,GCA_009938135.1,1
Malassezia,Basidiomycota,equina,CBS.12830,GCA_029542865.1,1
Malassezia,Basidiomycota,sp.,CBS.17886,GCA_029542825.1,1
Malassezia,Basidiomycota,pachydermatis,CBS.1879,GCA_001278385.1,1
Malassezia,Basidiomycota,pachydermatis,CBS.1879,GCF_001278385.1,1
Malassezia,Basidiomycota,globosa,CBS.7966,GCA_000181695.2,1
Malassezia,Basidiomycota,globosa,CBS.7966,GCF_000181695.2,1
Malassezia,Basidiomycota,slooffiae,CBS.7956,GCA_010577765.1,1
Malassezia,Basidiomycota,dermatis,JCM.11348,GCA_001600775.1,1
Malassezia,Basidiomycota,sympodialis,ATCC.42132,GCA_000349305.2,1
Malassezia,Basidiomycota,sympodialis,ATCC.42132,GCF_000349305.1,1
Malassezia,Basidiomycota,sp.,NA,GCA_004026415.1,1
Malassezia,Basidiomycota,globosa,CBS7966,GCA_010232095.1,1
Malassezia,Basidiomycota,sympodialis,NA,GCA_900149155.1,1
Malassezia,Basidiomycota,sympodialis,NA,GCA_900149135.1,1
Malassezia,Basidiomycota,sympodialis,NA,GCA_900149165.1,1
Malassezia,Basidiomycota,sympodialis,NA,GCA_900149175.1,1
Malassezia,Basidiomycota,sympodialis,ATCC.42132,GCA_900149145.1,1
Malassezia,Basidiomycota,restricta,CBS.7877,GCA_003691605.1,1
Malassezia,Basidiomycota,furfur,CBS.14139,GCA_024498975.1,1
Malassezia,Basidiomycota,pachydermatis,NA,GCA_014493585.1,1
Malassezia,Basidiomycota,restricta,CBS.7877,GCA_001264765.1,1
Malassezia,Basidiomycota,restricta,CBS.7877,GCA_000169275.1,1
Malassezia,Basidiomycota,pachydermatis,CBS.1879,GCA_001264975.1,1
Malassezia,Basidiomycota,globosa,CBS.7966,GCA_001264805.1,1
Malassezia,Basidiomycota,arunalokei,NCCPF.127130,GCA_020085095.1,1
Malassezia,Basidiomycota,nana,JCM.12085,GCA_001600835.1,1
Malassezia,Basidiomycota,japonica,JCM.11963,GCA_001600795.1,1
Malassezia,Basidiomycota,nana,CBS.9557,GCA_001265015.1,1
Malassezia,Basidiomycota,japonica,CBS.9431,GCA_001264785.1,1
Malassezia,Basidiomycota,cuniculi,CBS.11721,GCA_001264635.1,1
Malassezia,Basidiomycota,equina,CBS.9969,GCA_001264685.1,1
Malassezia,Basidiomycota,dermatis,CBS.9169,GCA_001264665.1,1
Malassezia,Basidiomycota,caprae,CBS.10434,GCA_001264625.1,1
Malassezia,Basidiomycota,obtusa,CBS.7876,GCA_001264985.1,1
Malassezia,Basidiomycota,slooffiae,CBS.7956,GCA_001264965.1,1
Malassezia,Basidiomycota,restricta,CBS.8742,GCA_001264725.1,1
Malassezia,Basidiomycota,sympodialis,ATCC.42132,GCA_001264925.1,1
Malassezia,Basidiomycota,sympodialis,ATCC.44340,GCA_001264715.1,1
Malassezia,Basidiomycota,sympodialis,ATCC.96806,GCA_001264705.1,1
Malassezia,Basidiomycota,globosa,KCTC.27541,GCA_036584375.1,1
Malassezia,Basidiomycota,globosa,KCTC.37189,GCA_036584425.1,1
Malassezia,Basidiomycota,globosa,KCTC.27777,GCA_036584355.1,1
Malassezia,Basidiomycota,globosa,KCTC.37188,GCA_036584385.1,1
Malassezia,Basidiomycota,globosa,CBS.7990,GCA_001264795.1,1
Malassezia,Basidiomycota,globosa,CBS.7874,GCA_001264815.1,1
Malassezia,Basidiomycota,furfur,PM315,GCA_023079145.1,1
Malassezia,Basidiomycota,furfur,CBS.14141,GCA_023510035.1,1
Malassezia,Basidiomycota,furfur,CBS.8735,GCA_023079135.1,1
Malassezia,Basidiomycota,furfur,CBS.9595,GCA_023510055.1,1
Malassezia,Basidiomycota,furfur,CBS.7982,GCA_023079155.1,1
Malassezia,Basidiomycota,furfur,CBS.7982,GCA_023373805.1,1
Malassezia,Basidiomycota,vespertilionis,NWHC:44797-103,GCA_002818225.1,1
Malassezia,Basidiomycota,furfur,CBS.9369,GCA_023079105.1,1
Malassezia,Basidiomycota,furfur,CBS.7982,GCA_001265045.1,1
Malassezia,Basidiomycota,furfur,JPLK23,GCA_001265065.1,1
Malassezia,Basidiomycota,yamatoensis,MY9725,GCA_001264885.1,1
Malassezia,Basidiomycota,restricta,NA,GCA_937888505.1,1
Malassezia,Basidiomycota,restricta,NA,GCA_963379355.1,1
Malassezia,Basidiomycota,restricta,NA,GCA_937901775.1,1
Malassezia,Basidiomycota,restricta,NA,GCA_963379255.1,1
Malassezia,Basidiomycota,sympodialis,NA,GCA_963379345.1,1
Malassezia,Basidiomycota,sympodialis,NA,GCA_937880085.1,1
Malassezia,Basidiomycota,globosa,NA,GCA_030826665.1,1
Malassezia,Basidiomycota,globosa,NA,GCA_937879915.1,1
Malassezia,Basidiomycota,globosa,NA,GCA_963379265.1,1
Malassezia,Basidiomycota,furfur,NA,GCA_030826685.1,1
Malassezia,Basidiomycota,furfur,CBS.7019,GCA_023079125.1,1
Malassezia,Basidiomycota,furfur,CBS.1878,GCA_002551515.1,1
Malassezia,Basidiomycota,furfur,CBS.4172,GCA_001264895.1,1
Malassezia,Basidiomycota,furfur,CBS.7019,GCA_001264875.1,1
Malassezia,Basidiomycota,furfur,CBS.1878,GCA_001265055.1,1
Malassezia,Basidiomycota,furfur,CBS.7710,GCA_001264865.1,1
Malassezia,Basidiomycota,furfur,CBS.4172,GCA_023079165.1,1
Malassezia,Basidiomycota,furfur,4DS,GCA_002549865.1,1
Marasmius,Basidiomycota,oreades,NA,GCA_018924745.1,1
Marasmius,Basidiomycota,oreades,NA,GCF_018924745.1,1
Marasmius,Basidiomycota,fiardii,PR-910,GCA_014904975.1,1
Marasmius,Basidiomycota,tenuissimus,NA,GCA_029532415.1,1
Marasmius,Basidiomycota,sp.,AFHP31,GCA_024721195.1,1
Marasmius,Basidiomycota,oreades,43A,GCA_025815895.1,1
Meira,Basidiomycota,miltonrushii,MCA.3882,GCA_003144205.1,1
Meira,Basidiomycota,miltonrushii,MCA.3882,GCF_003144205.1,1
Meira,Basidiomycota,nashicola,JCM.18503,GCA_001600355.1,1
Melampsora,Basidiomycota,larici-populina,98AG31,GCA_000204055.1,1
Melampsora,Basidiomycota,larici-populina,98AG31,GCF_000204055.1,1
Melampsora,Basidiomycota,allii-populina,Mlp06GRE05,GCA_002157005.1,1
Melampsora,Basidiomycota,medusae,Mmd05TRE539,GCA_002157035.1,1
Melampsora,Basidiomycota,americana,R15-033-03,GCA_022264835.1,1
Melampsora,Basidiomycota,abietis-canadensis,MEA09CAP01,GCA_002157025.1,1
Melampsora,Basidiomycota,occidentalis,Mo05Ca05,GCA_002157085.1,1
